comment_id,video_title,author,comment,date,sentiment
UgwPDOLgIUo5nfX4bS94AaABAg,Ahsoka | Teaser Trailer | Disney+,G Remate,Emperor Valkorian is back baby!!!!,2023-04-24T16:59:07Z,neutral
Ugz3ABW8lQ3wylharcJ4AaABAg,Ahsoka | Teaser Trailer | Disney+,Genki Horiguchi,seriyi mahvetttiniz.   rezillik.  fragman bile  sırıtıyor.,2023-04-24T15:28:27Z,neutral
UgzTwaZxm0BG1FWZ_Kh4AaABAg,Ahsoka | Teaser Trailer | Disney+,Jay,I’m taking Rey over Ahsoka trash. Rey def solos,2023-04-24T15:03:55Z,neutral
UgxgOwt5UgPI0yd0Klp4AaABAg,Ahsoka | Teaser Trailer | Disney+,Rodney Peterson,More excited for this than any other show Disney+ has had!  Cannot wait!!!!,2023-04-24T14:41:19Z,positive
UgyohAsOzIUTPu5y4EN4AaABAg,Ahsoka | Teaser Trailer | Disney+,N&H Te Miha,Ghost crew is back baby!!! 🔥🔥,2023-04-24T12:51:14Z,negative
UgyWjzCl2Dpky523j1h4AaABAg,Ahsoka | Teaser Trailer | Disney+,Pulkit Sharma,Big spelling mistake by disney + its ASHOKA not AHSOKA . 😂,2023-04-24T12:15:24Z,negative
UgzEa8qtLp4o3qu8Hu94AaABAg,Ahsoka | Teaser Trailer | Disney+,R K,At first I thought his is an animated movie,2023-04-24T11:28:16Z,neutral
UgyWVjUuFykdTaDuY554AaABAg,Ahsoka | Teaser Trailer | Disney+,Grant Newlands,Thrawn is my all time favourite SW character. They better not ruin him ha. I hope that Timothy Zahn was a direct contributer to this series.,2023-04-24T10:43:21Z,positive
Ugy5Z9mYX47rpn24DAp4AaABAg,Ahsoka | Teaser Trailer | Disney+,Edwiener96,Was really hoping for animated seties ngl,2023-04-24T09:21:29Z,positive
UgxWqIy3S9oTJ-ifzXB4AaABAg,Ahsoka | Teaser Trailer | Disney+,Hamstyy,Lets go Dave show us the love we all been waiting for 😍😍,2023-04-24T08:58:21Z,positive
UgyT_Z_802bFC9--Mrp4AaABAg,Ahsoka | Teaser Trailer | Disney+,Chug Norris,and she was a good freind,2023-04-24T08:11:00Z,positive
Ugye46yUxZ0gMCcIC7h4AaABAg,Ahsoka | Teaser Trailer | Disney+,Josh Math,yo its the thing from the rebels. that tower outside the city thing,2023-04-24T06:38:35Z,negative
Ugwgp0a8hIcyG7aIs594AaABAg,Ahsoka | Teaser Trailer | Disney+,Harry S.,Is the story take place before she meet the mandalorian / after the mandalorian season 3?,2023-04-24T06:30:53Z,neutral
Ugw1JMyb9ytwkKMK3Yx4AaABAg,Ahsoka | Teaser Trailer | Disney+,Kensington Acts,-AHS°KA-,2023-04-24T06:16:51Z,neutral
UgxeBha_YqjsslGCn3V4AaABAg,Ahsoka | Teaser Trailer | Disney+,TheRealDamage292,another disney trash,2023-04-24T06:15:51Z,neutral
Ugzk-RgovmYjmtdZ3714AaABAg,Ahsoka | Teaser Trailer | Disney+,Urban Sidhe,I know it's not that important... But I'm so glad they fixed her Lekku.,2023-04-24T05:23:45Z,positive
UgziQ8YDErx7ga3P8c14AaABAg,Ahsoka | Teaser Trailer | Disney+,kbird2222,"Why have I watched this 2,365,257 times?",2023-04-24T05:22:06Z,neutral
UgwRu7kNzZssWGBxlVp4AaABAg,Ahsoka | Teaser Trailer | Disney+,anon,Skoll and Hati will be the redeeming points of this show for me. Ahsoka’s actress is just so lifeless/soulless compared to who she was in CWs. Gonna be another show I HAVE to watch to be caught up and that’s pretty much all they’re making now.,2023-04-24T03:03:55Z,positive
UgxyITPw8tM_6ezFO4J4AaABAg,Ahsoka | Teaser Trailer | Disney+,Slayr,She looks great as the older version of Ashoka. How far after the clone wars does this take place?,2023-04-24T02:45:41Z,positive
UgwslyzZYsDNmB3NA0N4AaABAg,Ahsoka | Teaser Trailer | Disney+,ehoule420,I cant wait.,2023-04-24T02:22:59Z,neutral
Ugy1FZVy0bvVQ6SLkDR4AaABAg,Ahsoka | Teaser Trailer | Disney+,Brandy Wilmoth,Ashoka,2023-04-24T01:43:23Z,neutral
UgwectG6x7wTI1oPPPd4AaABAg,Ahsoka | Teaser Trailer | Disney+,Gothiczartan,Is Ahsoka set up in the event during or after The Mandalorian. It was to be after the event from The Book of Boba Fett for Ahsoka Tano to get ready for her show to start in August 2023.,2023-04-24T01:30:41Z,positive
UgyO9iuLRpGXavLvV1d4AaABAg,Ahsoka | Teaser Trailer | Disney+,Nietzsche Ente,"Rosario Dawson is great. But i don't trust disney anymore. Hope, the show is solid at least.",2023-04-23T22:56:35Z,positive
Ugw-NtQFVTo5lCX9aMN4AaABAg,Ahsoka | Teaser Trailer | Disney+,Huginn Hjartarson,"I wonder if Mando will make some guest appearance in these series, like he did in The Book of Boba Fett.",2023-04-23T22:25:44Z,positive
UgzsXxnc1TwbA84auH14AaABAg,Ahsoka | Teaser Trailer | Disney+,Michael,They picked the right person in Rosario Dawson,2023-04-23T21:25:30Z,neutral
UgyGOW1CPxhc00RaWr54AaABAg,Ahsoka | Teaser Trailer | Disney+,itsalecsteica,"I just hope the rebels are going to be like in the animated show, I just finished it and I will be very dissapointed if that's not the case.",2023-04-23T20:59:35Z,positive
UgxNjhFxc6kFHxOm9Rd4AaABAg,Ahsoka | Teaser Trailer | Disney+,Jake W,If they make thrown look like a dumbest I'm giving up on starwars. He is latterly the most intelligent person in all of starwars,2023-04-23T20:40:08Z,positive
Ugx8Tu-8xStt5Caje714AaABAg,Ahsoka | Teaser Trailer | Disney+,wjhd,Wish they'd done Heir to the Empire with Luke instead of giving such a great story to a character like Ahsoka,2023-04-23T20:20:42Z,positive
Ugxxf8lhc5iPzirWSfR4AaABAg,Ahsoka | Teaser Trailer | Disney+,Creators Hand,man I love all the rebels tie ins,2023-04-23T19:29:50Z,positive
Ugz4DNs16Ti-MfRz9it4AaABAg,Ahsoka | Teaser Trailer | Disney+,Blade Runner,"Sorry, Didney ... too little, far too late.",2023-04-23T19:27:40Z,negative
UgzY3GjbOhr_ugdkyjx4AaABAg,Ahsoka | Teaser Trailer | Disney+,Kaiser Joe,Where are the villain series…,2023-04-23T18:36:39Z,negative
UgzES8xzEPYAZJ8PWRB4AaABAg,Ahsoka | Teaser Trailer | Disney+,Ayush Srivastava,"0:57 if thrawn survived this Ezra had survived too??? So that he means by saying trust me Sabine wow it was teasr to Asoka and Ezra return excited to see rebels back together including zeeb and ezera, missing Kanan",2023-04-23T18:07:21Z,positive
